"옥수수, 메옥수수, 청안옥, 말린것",360,10.3,9.11,3.8,75.29,2.4,6.2,2,0,7343,0,0.01
"옥수수, 메옥수수, 평강옥, 말린것",359,10.3,9.45,3.54,75.3,2.16,6.7,1,0,7299,0,0.01
"옥수수, 메옥수수, 평안옥, 말린것",358,10.8,11.77,4.61,71.24,2.26,7.8,4,0,9282,0,0.01
"옥수수, 메옥수수, 황다옥, 말린것",358,10.4,10.32,3.65,74.27,1.64,6.2,2,0,7873,0,0.01
"옥수수, 메옥수수, 삶은것",173,56.9,5.11,2.19,34.89,0.31,5.7,0,2.07,4687,0,0.01
"옥수수, 메옥수수, 구운것",372,7.6,8.9,3.9,78.3,-,-,1,0,-,-,-
"옥수수, 찰옥수수, 생것",164,58.6,4.79,1.62,34.02,0.88,5.4,1,3.47,4742,0,0
"옥수수, 찰옥수수, 말린것",371,7.5,11.5,4.6,74.7,-,-,2,4,-,-,-
"옥수수, 찰옥수수, 삶은것",140,64.7,4.22,1.42,28.85,0.5,4.4,2,2.74,4047,0,0
"옥수수, 가루",364,8.1,7.32,0.97,83.3,0.54,1.9,2,0,7013,0,0
"옥수수, 크림, 통조림",84,78.2,1.7,0.5,18.6,-,1.8,260,3,-1733,0,-
"옥수수, 홀커넬, 통조림",82,78.4,2.3,0.5,17.8,-7.3,3.3,210,2,-2543,0,-
"옥수수, 가당, 통조림",105,73.8,2.07,0.73,22.45,4.17,1.3,206,4.75,1777,0,0
"옥수수 과자, 강냉이",401,0.6,7.16,3.25,87.9,13.52,0.4,51,0,5578,0,0.02
"옥수수 과자, 콘칩",538,1.07,6.17,33.36,56.9,0.27,4,514,0,6546,0,0.088
"옥수수 과자, 팝콘, 전자레인지 조리",497,1.9,8.12,27.28,61.18,0,10.9,315,0,7770,0,0.16
